"";"name";"PN03371FQ"
"1";"Q1.99";"75505.7848568806"
"2";"Q2.99";"76172.0641766092"
"3";"Q3.99";"81750.0175502454"
"4";"Q4.99";"84798.1794582797"
"5";"Q1.00";"85119.7146116839"
"6";"Q2.00";"84137.8879285327"
"7";"Q3.00";"84297.1495003644"
"8";"Q4.00";"84948.9009748998"
"9";"Q1.01";"82802.9561747155"
"10";"Q2.01";"84441.2757711825"
"11";"Q3.01";"85677.9646074843"
"12";"Q4.01";"84907.4387658"
"13";"Q1.02";"85552.7858201927"
"14";"Q2.02";"89420.3154612165"
"15";"Q3.02";"93062.1767595273"
"16";"Q4.02";"92618.7427472423"
"17";"Q1.03";"94253.8907111499"
"18";"Q2.03";"94193.7248961224"
"19";"Q3.03";"95913.393769614"
"20";"Q4.03";"99454.7493595437"
"21";"Q1.04";"98764.4325004962"
"22";"Q2.04";"98852.7141003493"
"23";"Q3.04";"96084.1276855681"
"24";"Q4.04";"100851.711243193"
"25";"Q1.05";"99409.6774409074"
"26";"Q2.05";"96642.2731911135"
"27";"Q3.05";"98367.7864811818"
"28";"Q4.05";"102382.135929149"
"29";"Q1.06";"98705.7917443607"
"30";"Q2.06";"96012.0701923684"
"31";"Q3.06";"94921.6386191393"
"32";"Q4.06";"96826.0679614974"
"33";"Q1.07";"94033.059541398"
"34";"Q2.07";"93660.5653606712"
"35";"Q3.07";"98090.3621095215"
"36";"Q4.07";"94549.1594883606"
"37";"Q1.08";"85361.4056917884"
"38";"Q2.08";"89849.7577798896"
"39";"Q3.08";"89217.7379281201"
"40";"Q4.08";"94078.315021873"
"41";"Q1.09";"95616.3285864618"
"42";"Q2.09";"93333.6103256323"
"43";"Q3.09";"92611.311101764"
"44";"Q4.09";"97812.5938530497"
"45";"Q1.10";"94912.4752256605"
"46";"Q2.10";"93775.4885190646"
"47";"Q3.10";"94754.939242868"
"48";"Q4.10";"100156.624834485"
"49";"Q1.11";"99483.0308220631"
"50";"Q2.11";"97290.3934574212"
"51";"Q3.11";"97982.8065500185"
"52";"Q4.11";"101737.408664502"
"53";"Q1.12";"98966.020024214"
"54";"Q2.12";"97598.9488178566"
"55";"Q3.12";"97371.253392987"
"56";"Q4.12";"101224.934204988"
"57";"Q1.13";"97871.4731692927"
"58";"Q2.13";"97781.2125805998"
"59";"Q3.13";"97893.8434860048"
"60";"Q4.13";"105087.44881714"
"61";"Q1.14";"100181.717673729"
"62";"Q2.14";"102323.122744353"
"63";"Q3.14";"104684.286898845"
"64";"Q4.14";"114431.965977411"
"65";"Q1.15";"115259.973231945"
"66";"Q2.15";"117146.964194436"
"67";"Q3.15";"126313.596627442"
"68";"Q4.15";"142240.978590105"
"69";"Q1.16";"142103.230287693"
"70";"Q2.16";"140335.280692963"
"71";"Q3.16";"146899.883710761"
"72";"Q4.16";"156662.581685133"
"73";"Q1.17";"153453.141983721"
"74";"Q2.17";"163563.253029328"
"75";"Q3.17";"166752.831938095"
"76";"Q4.17";"173975.675835152"
