"";"name";"PN03373FQ"
"1";"Q1.99";"49850.1"
"2";"Q2.99";"50149.8"
"3";"Q3.99";"54000.22"
"4";"Q4.99";"55363.23"
"5";"Q1.00";"55123.2"
"6";"Q2.00";"54506.82"
"7";"Q3.00";"54124.2"
"8";"Q4.00";"54637.34"
"9";"Q1.01";"52620.48"
"10";"Q2.01";"53272.65504"
"11";"Q3.01";"54448.08"
"12";"Q4.01";"52424.224"
"13";"Q1.02";"52360.305"
"14";"Q2.02";"55974.87558"
"15";"Q3.02";"58435.104"
"16";"Q4.02";"57181.41"
"17";"Q1.03";"56472.168"
"18";"Q2.03";"56418.73"
"19";"Q3.03";"57590.52"
"20";"Q4.03";"59297.48"
"21";"Q1.04";"59324.468"
"22";"Q2.04";"58196.758"
"23";"Q3.04";"55978.4"
"24";"Q4.04";"57472.16"
"25";"Q1.05";"55714.2476"
"26";"Q2.05";"53200.8425"
"27";"Q3.05";"48681.5354"
"28";"Q4.05";"47630.009"
"29";"Q1.06";"46134.87648"
"30";"Q2.06";"44431.7788"
"31";"Q3.06";"43430.465"
"32";"Q4.06";"43455.3504"
"33";"Q1.07";"42425.4815409972"
"34";"Q2.07";"41343.2507281"
"35";"Q3.07";"41274.06318"
"36";"Q4.07";"35386.26"
"37";"Q1.08";"32982.125"
"38";"Q2.08";"34950.7282277637"
"39";"Q3.08";"34585.560365498"
"40";"Q4.08";"38120.7373164152"
"41";"Q1.09";"37336.5726235756"
"42";"Q2.09";"35606.0817840217"
"43";"Q3.09";"32267.491881716"
"44";"Q4.09";"33185.8441408291"
"45";"Q1.10";"32624.5639903404"
"46";"Q2.10";"32401.7314894746"
"47";"Q3.10";"32667.273"
"48";"Q4.10";"29094.53233257"
"49";"Q1.11";"29382.1276"
"50";"Q2.11";"28502.76"
"51";"Q3.11";"28977.43259"
"52";"Q4.11";"28485.7452"
"53";"Q1.12";"27684.5632167615"
"54";"Q2.12";"27380.9076898623"
"55";"Q3.12";"26645.54598745"
"56";"Q4.12";"25631.8518998955"
"57";"Q1.13";"24133.7166801675"
"58";"Q2.13";"21774.8574936148"
"59";"Q3.13";"21750.6505220732"
"60";"Q4.13";"21491.696677948"
"61";"Q1.14";"21455.8459079679"
"62";"Q2.14";"22185.07320106"
"63";"Q3.14";"22280.9058025167"
"64";"Q4.14";"23195.4326991294"
"65";"Q1.15";"24904.839708077"
"66";"Q2.15";"25033.7742448194"
"67";"Q3.15";"27241.7525635276"
"68";"Q4.15";"28648.8273367989"
"69";"Q1.16";"28378.5806192598"
"70";"Q2.16";"28066.0911782181"
"71";"Q3.16";"28793.261095232"
"72";"Q4.16";"28944.1015548048"
"73";"Q1.17";"27391.311454455"
"74";"Q2.17";"25962.831759475"
"75";"Q3.17";"15936.7047440469"
"76";"Q4.17";"15987.2717014776"
