"";"Fecha";"PN01205PM"
"140";"Mar.2017";"3.26216086956522"
"141";"Abr.2017";"3.2462"
"142";"May.2017";"3.27118636363636"
"143";"Jun.2017";"3.26609"
"144";"Jul.2017";"3.24796315789474"
"145";"Ago.2017";"3.23978636363636"
"146";"Sep.2017";"3.24313333333333"
"147";"Oct.2017";"3.24769545454545"
"148";"Nov.2017";"3.23920476190476"
"149";"Dic.2017";"3.2449052631579"
"150";"Ene.2018";"3.2139"
"151";"Feb.2018";"3.2482"
"152";"Mar.2018";"3.25122"
"153";"Abr.2018";"3.22992"
"154";"May.2018";"3.27313181818182"
"155";"Jun.2018";"3.270575"
"156";"Jul.2018";"3.27625714285714"
"157";"Ago.2018";"3.2878"
"158";"Sep.2018";"3.31082"
"159";"Oct.2018";"3.33373636363636"
"160";"Nov.2018";"3.374565"
"161";"Dic.2018";"3.36310526315789"
"162";"Ene.2019";"3.34259090909091"
"163";"Feb.2019";"3.32056"
"164";"Mar.2019";"3.30410952380952"
"165";"Abr.2019";"3.30336"
"166";"May.2019";"3.33251818181818"
"167";"Jun.2019";"3.32453"
"168";"Jul.2019";"3.28967619047619"
"169";"Ago.2019";"3.377705"
"170";"Sep.2019";"3.35633809523809"
"171";"Oct.2019";"3.35884285714286"
"172";"Nov.2019";"3.371475"
"173";"Dic.2019";"3.35327619047619"
"174";"Ene.2020";"3.32682272727273"
"175";"Feb.2020";"3.390215"
"176";"Mar.2020";"3.48939090909091"
"177";"Abr.2020";"3.395435"
"178";"May.2020";"3.42021"
"179";"Jun.2020";"3.46961428571429"
"180";"Jul.2020";"3.51507727272727"
"181";"Ago.2020";"3.56305238095238"
"182";"Sep.2020";"3.55377727272727"
